PING 172.16.114.238 (172.16.114.238) 56(84) bytes of data.
64 bytes from 172.16.114.238: icmp_seq=1 ttl=61 time=7.05 ms
64 bytes from 172.16.114.238: icmp_seq=2 ttl=61 time=1.33 ms
64 bytes from 172.16.114.238: icmp_seq=3 ttl=61 time=0.530 ms
64 bytes from 172.16.114.238: icmp_seq=4 ttl=61 time=3.43 ms
64 bytes from 172.16.114.238: icmp_seq=5 ttl=61 time=0.532 ms
64 bytes from 172.16.114.238: icmp_seq=6 ttl=61 time=0.377 ms
64 bytes from 172.16.114.238: icmp_seq=7 ttl=61 time=0.792 ms
64 bytes from 172.16.114.238: icmp_seq=8 ttl=61 time=0.597 ms
64 bytes from 172.16.114.238: icmp_seq=9 ttl=61 time=0.357 ms
64 bytes from 172.16.114.238: icmp_seq=10 ttl=61 time=3.88 ms
64 bytes from 172.16.114.238: icmp_seq=11 ttl=61 time=0.774 ms
64 bytes from 172.16.114.238: icmp_seq=12 ttl=61 time=0.659 ms
64 bytes from 172.16.114.238: icmp_seq=13 ttl=61 time=0.372 ms
64 bytes from 172.16.114.238: icmp_seq=14 ttl=61 time=0.490 ms
64 bytes from 172.16.114.238: icmp_seq=15 ttl=61 time=0.479 ms
64 bytes from 172.16.114.238: icmp_seq=16 ttl=61 time=0.513 ms
64 bytes from 172.16.114.238: icmp_seq=17 ttl=61 time=0.368 ms
64 bytes from 172.16.114.238: icmp_seq=18 ttl=61 time=0.342 ms
64 bytes from 172.16.114.238: icmp_seq=19 ttl=61 time=0.322 ms
64 bytes from 172.16.114.238: icmp_seq=20 ttl=61 time=0.273 ms
64 bytes from 172.16.114.238: icmp_seq=21 ttl=61 time=0.298 ms
64 bytes from 172.16.114.238: icmp_seq=22 ttl=61 time=0.354 ms
64 bytes from 172.16.114.238: icmp_seq=23 ttl=61 time=2.01 ms
64 bytes from 172.16.114.238: icmp_seq=24 ttl=61 time=0.461 ms
64 bytes from 172.16.114.238: icmp_seq=25 ttl=61 time=0.458 ms
64 bytes from 172.16.114.238: icmp_seq=26 ttl=61 time=0.486 ms
64 bytes from 172.16.114.238: icmp_seq=27 ttl=61 time=3.45 ms
64 bytes from 172.16.114.238: icmp_seq=28 ttl=61 time=0.346 ms
64 bytes from 172.16.114.238: icmp_seq=29 ttl=61 time=0.357 ms
64 bytes from 172.16.114.238: icmp_seq=30 ttl=61 time=0.265 ms
64 bytes from 172.16.114.238: icmp_seq=31 ttl=61 time=0.396 ms
64 bytes from 172.16.114.238: icmp_seq=32 ttl=61 time=0.354 ms
64 bytes from 172.16.114.238: icmp_seq=33 ttl=61 time=0.649 ms
64 bytes from 172.16.114.238: icmp_seq=34 ttl=61 time=6.64 ms
64 bytes from 172.16.114.238: icmp_seq=35 ttl=61 time=0.520 ms
64 bytes from 172.16.114.238: icmp_seq=36 ttl=61 time=0.484 ms
64 bytes from 172.16.114.238: icmp_seq=37 ttl=61 time=0.358 ms
64 bytes from 172.16.114.238: icmp_seq=38 ttl=61 time=1.02 ms
64 bytes from 172.16.114.238: icmp_seq=39 ttl=61 time=0.380 ms
64 bytes from 172.16.114.238: icmp_seq=40 ttl=61 time=0.525 ms
64 bytes from 172.16.114.238: icmp_seq=41 ttl=61 time=0.349 ms
64 bytes from 172.16.114.238: icmp_seq=42 ttl=61 time=0.559 ms
64 bytes from 172.16.114.238: icmp_seq=43 ttl=61 time=0.386 ms
64 bytes from 172.16.114.238: icmp_seq=44 ttl=61 time=0.590 ms
64 bytes from 172.16.114.238: icmp_seq=45 ttl=61 time=0.268 ms
64 bytes from 172.16.114.238: icmp_seq=46 ttl=61 time=0.318 ms
64 bytes from 172.16.114.238: icmp_seq=47 ttl=61 time=25.8 ms
64 bytes from 172.16.114.238: icmp_seq=48 ttl=61 time=2.07 ms
64 bytes from 172.16.114.238: icmp_seq=49 ttl=61 time=6.26 ms
64 bytes from 172.16.114.238: icmp_seq=50 ttl=61 time=0.390 ms
64 bytes from 172.16.114.238: icmp_seq=51 ttl=61 time=0.776 ms
64 bytes from 172.16.114.238: icmp_seq=52 ttl=61 time=0.486 ms
64 bytes from 172.16.114.238: icmp_seq=53 ttl=61 time=0.506 ms
64 bytes from 172.16.114.238: icmp_seq=54 ttl=61 time=0.406 ms
64 bytes from 172.16.114.238: icmp_seq=55 ttl=61 time=0.943 ms
64 bytes from 172.16.114.238: icmp_seq=56 ttl=61 time=0.920 ms
64 bytes from 172.16.114.238: icmp_seq=57 ttl=61 time=0.517 ms
64 bytes from 172.16.114.238: icmp_seq=58 ttl=61 time=0.481 ms
64 bytes from 172.16.114.238: icmp_seq=59 ttl=61 time=0.377 ms
64 bytes from 172.16.114.238: icmp_seq=60 ttl=61 time=1.36 ms
64 bytes from 172.16.114.238: icmp_seq=61 ttl=61 time=0.486 ms
64 bytes from 172.16.114.238: icmp_seq=62 ttl=61 time=0.485 ms
64 bytes from 172.16.114.238: icmp_seq=63 ttl=61 time=0.482 ms
64 bytes from 172.16.114.238: icmp_seq=64 ttl=61 time=0.532 ms
64 bytes from 172.16.114.238: icmp_seq=65 ttl=61 time=4.98 ms
64 bytes from 172.16.114.238: icmp_seq=66 ttl=61 time=0.512 ms
64 bytes from 172.16.114.238: icmp_seq=67 ttl=61 time=0.481 ms
64 bytes from 172.16.114.238: icmp_seq=68 ttl=61 time=5.45 ms
64 bytes from 172.16.114.238: icmp_seq=69 ttl=61 time=0.487 ms
64 bytes from 172.16.114.238: icmp_seq=70 ttl=61 time=0.476 ms
64 bytes from 172.16.114.238: icmp_seq=71 ttl=61 time=0.483 ms
64 bytes from 172.16.114.238: icmp_seq=72 ttl=61 time=0.482 ms
64 bytes from 172.16.114.238: icmp_seq=73 ttl=61 time=0.360 ms
64 bytes from 172.16.114.238: icmp_seq=74 ttl=61 time=0.482 ms
64 bytes from 172.16.114.238: icmp_seq=75 ttl=61 time=0.379 ms
64 bytes from 172.16.114.238: icmp_seq=76 ttl=61 time=0.503 ms
64 bytes from 172.16.114.238: icmp_seq=77 ttl=61 time=0.619 ms
64 bytes from 172.16.114.238: icmp_seq=78 ttl=61 time=0.345 ms
64 bytes from 172.16.114.238: icmp_seq=79 ttl=61 time=0.370 ms
64 bytes from 172.16.114.238: icmp_seq=80 ttl=61 time=0.389 ms
64 bytes from 172.16.114.238: icmp_seq=81 ttl=61 time=0.297 ms
64 bytes from 172.16.114.238: icmp_seq=82 ttl=61 time=0.332 ms
64 bytes from 172.16.114.238: icmp_seq=83 ttl=61 time=0.323 ms
64 bytes from 172.16.114.238: icmp_seq=84 ttl=61 time=0.388 ms
64 bytes from 172.16.114.238: icmp_seq=85 ttl=61 time=0.308 ms
64 bytes from 172.16.114.238: icmp_seq=86 ttl=61 time=0.526 ms
64 bytes from 172.16.114.238: icmp_seq=87 ttl=61 time=0.531 ms
64 bytes from 172.16.114.238: icmp_seq=88 ttl=61 time=0.527 ms
64 bytes from 172.16.114.238: icmp_seq=89 ttl=61 time=0.381 ms
64 bytes from 172.16.114.238: icmp_seq=90 ttl=61 time=0.426 ms
64 bytes from 172.16.114.238: icmp_seq=91 ttl=61 time=0.487 ms
64 bytes from 172.16.114.238: icmp_seq=92 ttl=61 time=0.486 ms
64 bytes from 172.16.114.238: icmp_seq=93 ttl=61 time=0.506 ms
64 bytes from 172.16.114.238: icmp_seq=94 ttl=61 time=0.484 ms
64 bytes from 172.16.114.238: icmp_seq=95 ttl=61 time=0.503 ms
64 bytes from 172.16.114.238: icmp_seq=96 ttl=61 time=0.294 ms
64 bytes from 172.16.114.238: icmp_seq=97 ttl=61 time=0.598 ms
64 bytes from 172.16.114.238: icmp_seq=98 ttl=61 time=0.649 ms
64 bytes from 172.16.114.238: icmp_seq=99 ttl=61 time=0.561 ms
64 bytes from 172.16.114.238: icmp_seq=100 ttl=61 time=0.533 ms
64 bytes from 172.16.114.238: icmp_seq=101 ttl=61 time=0.384 ms
64 bytes from 172.16.114.238: icmp_seq=102 ttl=61 time=0.572 ms
64 bytes from 172.16.114.238: icmp_seq=103 ttl=61 time=0.341 ms
